layer	context	tissue	intervention	rank	mark	rev_beta
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	25	SELENBP1	-1.3844664336781898
proteome	plasma/bariatric	plasma	bariatric	1	IGFBP2	1.00319842769127
proteome	plasma/bariatric	plasma	bariatric	2	AGR2	0.870190641849594
proteome	plasma/bariatric	plasma	bariatric	3	IL1RN	-0.855988246540525
proteome	plasma/bariatric	plasma	bariatric	4	GUCA2A	0.81085532168629
proteome	plasma/bariatric	plasma	bariatric	5	CBLIF	-0.806908423564366
proteome	plasma/bariatric	plasma	bariatric	6	REG1A	0.778467809865207
proteome	plasma/bariatric	plasma	bariatric	7	IGFBP1	0.773438025815529
proteome	plasma/bariatric	plasma	bariatric	8	SCGN	0.761912102340277
proteome	plasma/bariatric	plasma	bariatric	9	HSD11B1	0.756336457529374
proteome	plasma/bariatric	plasma	bariatric	10	SSC4D	-0.744423075737124
proteome	plasma/bariatric	plasma	bariatric	11	REG1B	0.739551227882224
proteome	plasma/bariatric	plasma	bariatric	12	ESM1	0.727050426352772
proteome	plasma/bariatric	plasma	bariatric	13	KRT19	0.706675535085547
proteome	plasma/bariatric	plasma	bariatric	14	REG4	0.701903283508449
proteome	plasma/bariatric	plasma	bariatric	15	LEP	-0.695697727569106
proteome	plasma/bariatric	plasma	bariatric	16	IL6	-0.693911479092718
proteome	plasma/bariatric	plasma	bariatric	17	FCN2	0.687859004933373
proteome	plasma/bariatric	plasma	bariatric	18	CDHR2	-0.685173614199576
proteome	plasma/bariatric	plasma	bariatric	19	DDC	0.674915075871195
proteome	plasma/bariatric	plasma	bariatric	20	REG3A	0.674771570591353
proteome	plasma/bariatric	plasma	bariatric	21	IL6	-0.665176183627148
proteome	plasma/bariatric	plasma	bariatric	22	EPCAM	0.65498673053381
proteome	plasma/bariatric	plasma	bariatric	23	FURIN	-0.651895110348065
proteome	plasma/bariatric	plasma	bariatric	24	CTSB	0.649970761633054
proteome	plasma/bariatric	plasma	bariatric	25	GSTA1	-0.644256695122099
proteome	plasma/diet	plasma	diet	1	ACY1	-0.973888436544377
proteome	plasma/diet	plasma	diet	2	CHAD	0.966004707325922
proteome	plasma/diet	plasma	diet	3	FAH	-0.951637716815204
proteome	plasma/diet	plasma	diet	4	FABP3	-0.893940972949076
proteome	plasma/diet	plasma	diet	5	OMD	0.868308612011975
proteome	plasma/diet	plasma	diet	6	SCARA5	0.86685710474342
proteome	plasma/diet	plasma	diet	7	ADH4	-0.86126631957833
proteome	plasma/diet	plasma	diet	8	LRRC15	0.854248094702798
proteome	plasma/diet	plasma	diet	9	APOF	0.848581436062221
proteome	plasma/diet	plasma	diet	10	ADH1C	-0.801573382288524
proteome	plasma/diet	plasma	diet	11	PRCP	-0.801083541030962
proteome	plasma/diet	plasma	diet	12	AKR1D1	-0.800581144296703
proteome	plasma/diet	plasma	diet	13	FBP1	-0.800041219951176
proteome	plasma/diet	plasma	diet	14	IGDCC4	0.796256087261103
proteome	plasma/diet	plasma	diet	15	MMP16	0.789010681627521
proteome	plasma/diet	plasma	diet	16	HTRA1	-0.78046230320624
proteome	plasma/diet	plasma	diet	17	ACAN	0.776028633128505
proteome	plasma/diet	plasma	diet	18	CDON	0.755819523664193
proteome	plasma/diet	plasma	diet	19	PTPRU	-0.754921003508372
proteome	plasma/diet	plasma	diet	20	GPD1	-0.741760647772091
proteome	plasma/diet	plasma	diet	21	ADH1A	-0.740547640111405
proteome	plasma/diet	plasma	diet	22	GSTP1	0.738097274456499
proteome	plasma/diet	plasma	diet	23	CTSZ	-0.735672581436522
proteome	plasma/diet	plasma	diet	24	AIDA	0.735184700525015
proteome	plasma/diet	plasma	diet	25	ALDOB	-0.734859102217057
proteome	plasma/SGLT2i	plasma	SGLT2i	1	P21810	-0.284805982
