gene,meth_delta,expr_delta,expr_p,expr_sig
AFF4,5.1360359002822644e-05,0.288942486869728,0.3131066553677577,False
AFMID,-0.0008791222508962335,0.07654061744212297,0.8162789789645879,False
AFTPH,-0.0012138037986490827,-0.20506879231040245,0.35453509397479754,False
AGA,-0.0019422303488988624,-0.11981153343543147,0.4890938340916603,False
AGAP2,-0.000929409951534183,-0.13473677959231134,0.6407575514918378,False
AGBL2,0.0021211500140752705,-0.057487210085027246,0.860635917377478,False
AGBL3,-0.0011423132658527433,-0.3884696886502288,0.09606968642965247,False
AGER,-0.0009220628727323907,-0.0912815653140716,0.7414223965030282,False
AGGF1,-0.00013088552479887522,-0.5008993988370685,0.06264104923882396,False
AGK,-0.002126517128766553,-0.3588610837879441,0.3795477404179596,False
AGL,-0.0023013526551175683,-0.16621563830473096,0.5397161878667245,False
AGPAT1,0.0009791941470965087,0.4315528653373352,0.09137499903081175,False
AGPAT2,0.006742327312959321,-0.3109034266176256,0.3581047875918851,False
AGPAT3,-0.0004262942896064967,0.20788802459044806,0.48388238244887094,False
AGPAT4,-0.000882470558849754,0.5812865555428781,0.05010424974187728,False
AGPAT5,-0.002685211764980436,-0.14762377683931993,0.48768738748725915,False
AGPAT6,-0.0022889801496380918,-0.49328284812831175,0.1965583279424488,False
AGPAT9,-0.0013518242670680983,-0.528256824041978,0.055691716233429646,False
AGTPBP1,-0.002159630807668375,-0.08075116418520428,0.49731000166609596,False
AGTRAP,-0.00468152165167605,0.05214735887269869,0.6207997080600411,False
AHCY,0.002441680062427288,-0.2318420916454081,0.19016911225549912,False
AHCYL1,-0.0028227698395517755,-0.29733109961335297,0.07972796303825695,False
AHI1,-0.004471935821760436,-0.10003813326607441,0.7176977886882601,False
AHNAK,-0.0025991944537741836,0.14733013767868006,0.41516955488636886,False
AHSA1,0.0016706685327224876,-0.34661720843014526,0.01719863643668764,True
AHSA2,-0.0003685958577283129,-0.7773507068857308,0.018172730422826727,True
AHSP,-0.012012606704188454,0.059388361796996726,0.7771716089051566,False
AIF1,-0.008078434099389777,0.07682632424955926,0.5508776649165742,False
AIFM1,0.010239422501174014,-0.03792161714074988,0.8036706862637875,False
AIG1,-0.0027265885051814837,-0.007389533526291952,0.9686539500123915,False
AIM2,-0.0011883895319665656,0.11928804678654739,0.707165037552552,False
AIMP1,-0.0022847541622746615,-0.043182502767721655,0.8768097515155886,False
AIMP2,-0.0036665370455876544,-0.14025475448138763,0.09114961479968749,False
AIP,-0.0012769567288965222,-0.21874604821033738,0.16160605791656546,False
AK1,-0.002515514196792364,0.019962358212274347,0.9259786531181388,False
AK2,-0.0008923784322465786,0.012570450909942466,0.935526276364474,False
AK5,-0.001996332860347599,-0.09731626660332533,0.7492187887582547,False
AK9,-0.003063262887272368,-0.2508568502753145,0.4794976272180349,False
AKAP8,-0.0025763703039304465,-0.7748417844556239,0.3297563347769821,False
AKAP8L,-0.0017543461272016495,-0.8612961764959556,0.05147720964385978,False
AKAP9,-0.0028179535661694475,-0.5963945196993234,0.03627074434335811,True
AKIP1,0.00167104989635785,-0.04518980940760726,0.8001901088982214,False
AKIRIN2,0.0012540699948408222,0.2467585201467184,0.14550118002793969,False
AKR1A1,-0.00053654715111861,0.17116133342169298,0.2099997283150975,False
AKR1B1,0.0006412754635074218,0.08460026469662305,0.39575055825434313,False
AKR1C3,-0.0017899110438956227,-0.22500139852814374,0.20219847375441194,False
AKT1,0.0005348815047565589,-0.18105626919841036,0.4048593115823862,False
AKT1S1,0.0010571419114931465,-0.0527416933561011,0.798055167983515,False
AKT2,0.000642829459376134,0.03312600969728728,0.9353576522692907,False
AKTIP,-0.0016465762885581377,-0.39270387985170396,0.30319220939415803,False
ALAD,-0.0018690952473508098,-0.43478581475504613,0.2844678856549077,False
ALAS1,-0.00798465558085577,0.20125579880378267,0.5004363251196576,False
ALAS2,-0.018703232428416323,-0.5074724595610834,0.16716952814654049,False
ALDH18A1,-0.0011812408230748726,0.4175514507886009,0.29848128772889754,False
ALDH1A1,-0.002879894887251263,0.2500631215871054,0.13088118807705829,False
ALDH2,-0.0042526473370779845,0.10012439642732722,0.4540642894128909,False
ALDH3A2,-0.0028539122525173036,-0.2538230839441076,0.37113653224071175,False
ALDH3B1,-0.0030196648188956323,0.6353445784837292,0.020142814317140247,True
ALDH5A1,-0.0013648293493630848,-0.24011952559904215,0.35234484566248037,False
ALDH6A1,-0.0029737603753437684,-0.19582530432956838,0.37933575719725465,False
ALDH9A1,-0.002619867644204537,-0.328785702675815,0.18602056187071156,False
ALDOA,-0.00014143127437964452,0.04252838770965046,0.639245963421127,False
ALDOC,-0.0014043592323054702,0.08859671594109002,0.4946698319932775,False
