gene,rev2,rev5
TMOD1,0.5337837837837835,0.5364864864864867
ADAM17,-0.6902702702702701,-0.8178378378378378
NDUFA5P9,-0.1921621621621622,-0.0581081081081081
PARP14,-0.4167567567567568,-0.6475675675675676
SNX18P26,0.4810810810810812,0.4551351351351352
CREBZF,0.3645945945945946,0.3532432432432432
FAM117B,-0.1878378378378377,-0.2635135135135134
EXOC8,-0.2094594594594594,-0.1616216216216217
PPP1R11P2,0.2308108108108109,0.0681081081081081
FAM35BP,-0.3432432432432431,-0.2991891891891891
MATK,-0.2813513513513515,-0.2067567567567567
DHRS1,-0.2691891891891891,-0.0913513513513514
ETF1,-0.6948648648648651,-0.4108108108108109
PHBP4,-0.1983783783783782,-0.0145945945945945
ACADVL,-0.2086486486486487,0.0183783783783781
LZTR1,-0.2902702702702703,-0.1483783783783784
TMEM107,-0.2183783783783783,-0.2913513513513512
DAPP1,-0.6700000000000002,-0.8113513513513514
ARHGEF9,0.3397297297297297,0.1310810810810811
PNISR,0.294054054054054,0.3262162162162161
GLRX,-0.9202702702702702,-0.9208108108108106
RN7SL314P,-0.2962162162162162,-0.0713513513513513
CYB561A3,-1.2478378378378376,-0.9694594594594594
XPOTP1,-0.2308108108108107,-0.1643243243243243
RALGAPA1P,0.4237837837837839,0.3540540540540542
SLC22A12,-0.5705405405405406,-0.3875675675675676
GAPDHP26,-0.2481081081081081,-0.1402702702702702
ANP32A-IT1,0.3924324324324324,0.4462162162162161
CD300LF,-0.2427027027027027,-0.4497297297297297
ACOT9,-0.5364864864864866,-0.5740540540540542
TRIM53CP,0.2167567567567567,0.1797297297297297
HIST1H3B,-0.774054054054054,-0.7789189189189191
TJP2,0.295135135135135,0.3743243243243244
MT-TA,0.4689189189189192,0.0281081081081082
USP53,0.2997297297297297,-0.0229729729729729
CRNKL1,0.2778378378378376,0.0418918918918918
MTFR2,-0.2645945945945945,-0.1256756756756757
ARFGAP2,0.3243243243243242,0.1940540540540538
SNRPEP3,-0.1172972972972972,-0.1918918918918919
DPYSL2,-0.2848648648648649,-0.3516216216216215
PAK2,-0.3151351351351352,-0.2037837837837838
TSPAN33,-0.933243243243243,-0.93027027027027
PHC3,0.2043243243243241,0.3545945945945946
TRAM2,-1.1764864864864868,-1.1694594594594598
CDC42-IT1,0.3332432432432434,0.4035135135135136
MS4A7,-2.758648648648649,-3.575675675675676
CPN2,-0.1851351351351351,-0.1581081081081081
OR7E13P,0.486756756756757,0.425945945945946
DLG4,-0.450810810810811,-0.5281081081081083
ACRBP,-0.381081081081081,-0.3937837837837838
C1QA,-1.7632432432432434,-2.284054054054054
FBXO3,0.2370270270270269,0.1256756756756758
RFK,-0.6081081081081081,-0.6351351351351353
UBD,-0.2262162162162163,-0.0194594594594594
GALT,0.315945945945946,0.347027027027027
APOL4,0.4778378378378381,0.2829729729729729
GPATCH1,0.3029729729729729,0.1013513513513512
SEC11C,-0.3081081081081082,-0.3210810810810811
CA12,-0.311081081081081,-0.4172972972972972
ZNF814,-0.2664864864864866,-0.3605405405405406
SYAP1,-0.2175675675675676,-0.0378378378378379
PTGDR,0.3621621621621622,-0.0145945945945945
ADH7,0.4467567567567567,0.2862162162162162
ZDHHC11B,0.2378378378378378,0.2745945945945946
TREML2,-0.2054054054054054,-0.2008108108108107
CTSZ,-1.2494594594594597,-1.3527027027027023
CSPG5,0.314054054054054,0.2970270270270269
EZH2P1,-0.2386486486486486,-0.164054054054054
CBX2,0.1616216216216215,0.1818918918918918
SMPD1,-0.6524324324324323,-0.4491891891891891
REV1,0.4724324324324327,0.1959459459459459
DOK3,-0.3713513513513514,-0.5024324324324325
OR2Q1P,-0.1191891891891892,0.1383783783783784
ZNF493,0.2718918918918918,0.3045945945945946
FIG4,-0.2132432432432433,-0.4413513513513513
