gene,z2,z12
SERPIND1,-6.22361809742237,-3.6784363004896448
SCT,-0.003768110062219559,0.01466707599065462
PDGFRA,3.0782669483744964,2.432061339691019
IL20,-0.02513650109018202,0.008705907034189005
CST7,-0.948099037199077,-0.8918610715910762
GHR,-6.915417529633097,-4.704106478799723
S100A9,-34.002054143481566,-59.96406362458886
CCL18,-13.817155430097324,-5.307154560575654
LRP1B,-25.31797151768367,-26.780428554886008
WFIKKN2,13.63356809093134,13.171695842257007
LTBR,2.9755529344816694,4.203136394088458
ROBO3,-0.2000948703305984,-0.17362097926258788
FCN1,2.3398443616805418,0.639122812268052
CTSC,0.14462959481628732,0.2005136325593337
CD84,6.1044870685878205,5.343932876236948
SNAP25,9.572090570511307,-12.436420266704348
NSFL1C,0.1656249787092978,-0.5429334160366184
IBSP,9.980727518682757,13.111222406228954
THPO,-0.1370371816367031,-0.011129845163290485
NR3C1,-0.29754288396599665,-0.6503918044817417
IL3RA,-0.4873429938820506,-0.7876374304981076
BTC,-0.09889335332346448,-0.058438853790919724
IL25,-0.12111435607317353,-0.1610727412867663
CAPN1 CAPNS1,-9.525518513895841,-11.956354220697012
GHRL,0.8637729560044254,0.9355240553540255
ICAM3,-0.2088472051083327,-0.07599185007340938
IL17B,0.005981406904544969,0.022301498403988828
CD48,0.5724946706257945,0.5450895266211572
APCS,-100.68323863414044,-60.17862802741917
LGALS4,-0.2956150344123689,-0.1200258151073769
TGFBI,-21.09925855847098,14.621372028425725
IGFBP5,1.7876954020576674,1.16797463984033
LRPAP1,-0.5885576503408942,-0.5061033490694931
CDC2 CCNB1,-0.0808214974358607,-0.061630571967438944
CD22,-0.16377961571362537,-0.15894686742024156
PRDX5,-0.07677965609605128,-0.07338044429262093
AIP,-2.4142282577481926,-4.05524976923254
CA6,4.61769971007291,4.123852230603598
DNAJC19,-0.08515605656098052,-0.0025458793239999775
SST,-0.6093544825191803,-0.4418346234553302
SECTM1,1.7811475752890036,1.6977103099391715
SEMA3E,1.4663920095833092,4.0452193195067325
KLKB1,-14.432154767064898,-13.083253442065978
IL1RAPL2,0.4216982931404247,-0.07518185491584128
TGFB2,-0.1600910796308988,-0.08599380750724198
KDR,-3.9917362306231383,-4.861424633774632
IL1B,0.29096731835483475,0.031847811756363885
IFNGR1,0.19553329067871664,0.3717325371658456
ANK2,0.2060879202492972,0.12502010685780932
PDE9A,0.0742612611850268,0.22753014010486766
MAP3K7 TAB1,-0.15101828822535582,-0.04111984318783092
DSC3,-0.056391022884212855,-0.024815914096993828
NTF4,-0.07764539996981215,-0.05118151813974122
CCL15,9.707645913982972,5.631513138317675
LILRB1,-2.4330322730838416,-0.49494483717162385
BSG,-0.22465688539325104,-0.26008694475112587
RPS7,-1.1740903069104014,-1.3978551032954416
GNLY,1.3969646066883705,1.4556421232230206
MMP1,0.05331529622983556,1.0278623403660956
UFM1,0.2680046665530675,-1.7783551257346624
CLEC7A,-0.23115653417231247,-0.2504734128487042
UBE2N,-1.485553709993278,-6.769535983063725
HK1,-0.4062952058889674,-0.5203477506308324
CHKB,-23.049080195235472,-42.56899604618785
EFNB1,1.244933850711829,1.1106004674087118
MST1,-0.3755058206854597,2.133409787014386
PAK6,-1.3204127010886206,-1.0450042335786638
RNF43,0.7348238368645778,0.07638434593224533
MMP10,0.7577375807072033,1.4644282157074815
KLRF1,-0.18745617772495263,-0.18140577120050727
BCAR3,-0.0657450715532972,-1.4724060574604134
TNFSF15,0.6246736232736035,0.578938950962515
HIPK3,0.0884153705545238,-0.008600601848951688
EIF4A3,-0.2551301937861867,-0.058697028844731804
IL9,0.01859174019358397,0.03920382377383047
CA13,-0.07026891177999053,-0.4004771894409506
HMGCR,-0.09452229572137331,-0.026084751450424794
PYY,2.3800948820845678,2.735998503266642
HAMP,-13.25617383904738,-19.32021615534031
PPIE,0.07172432504770085,-0.6134681199838421
N6AMT1,-0.4006467015928783,0.24426965237771067
GH1,-0.021699439513788176,-0.11824126726920282
ENTPD1,0.11042395216825948,0.3257390002144305
IL10RB,-0.04956843558090873,0.234172914462411
NMT1,-0.743174688395627,-0.941344623571726
CA7,0.011278905347600421,-0.02049497079771994
TLR4,0.2820959985421737,0.06358316618072943
BPI,-2.309236738892351,-1.8501266277437294
AKR7A2,-1.2227573761040251,-0.9777507950113085
KIR3DL2,-0.1839610835701743,-0.5832372167232784
NUDCD3,-0.001994984852168862,0.0687455043062783
FGFR3,-0.1320390802002438,-0.04976521863845722
CCL11,29.94634338242301,29.532783959647542
PRL,1.9288715109829238,-2.0799605731711273
ICAM2,-0.021982886685947833,-0.1720725104150618
ABL1,-0.09493618845022864,-0.022039776350563558
LRRK2,-1.7890312463148195,-1.6057034658745626
CCL3L1,-1.2013327701218313,-0.2001827730872186
GSN,0.37456124010144065,0.7089754456339209
CA10,0.053651155214926104,0.14432741426045903
CNTFR,12.197353022107958,13.022024088087571
CCL2,-0.089162129393358,-0.03679180588933067
TNFSF9,-0.006470347801748826,-0.021261646041979478
PGK1,2.1492128164590802,-0.6441467592611522
CNTN4,4.5148178031860144,3.397734891757109
KRT18,-0.4973735053233223,-0.933616816217756
IL4R,-0.0037100117865765327,-0.020921541111856304
CMA1,-0.16095974338281738,-0.020524335302714334
IL1RAP,52.488970711203756,46.82027859896018
OMD,33.95723401376072,20.127885411522712
NANOG,-0.04010846833165347,0.015241341042782582
APOL1,-49.23608044960744,-45.304256075764535
ULBP3,-0.1448653749775224,-0.2369517851429695
ADAMTS1,-0.10718434735228075,-0.012924336229888403
HDAC8,-0.21015166067528948,0.2975473309937744
IGF1R,6.791950481734349,6.920254392856725
EPHB4,-3.6009981355584473,-5.968902578573049
RBM39,-0.054882029852308556,0.10151687335536681
CCL13,-0.17181293049502375,-0.05379164467476755
METAP2,-10.287971697827743,-1.707845425227335
EGFR,-0.2256021959468095,-1.9590195158684796
MB,0.722477132074703,0.09655572569968052
DKK3,10.14526265286969,6.724471643715894
MMP8,-0.3367130494516702,0.1294125716246933
METAP1,-0.32836730770739686,-0.12433454742437587
TNFSF13B,-1.2845857960935247,0.9772681704737769
PDE11A,-1.730757777982331,-0.7290189008251429
CCL1,0.2414242857138981,2.1630941034493114
GCKR,-0.3900906120832189,0.014201314238169303
TPSB2,2.364553830590159,2.9451958886494665
NTF3,0.45458342089162834,0.40704146462672675
KYNU,-1.3967456158265423,-0.6091477581599147
CD55,4.654599670290964,18.030038656695595
TDGF1,1.4007750476841816,1.137720477565909
WIF1,6.491889202857328,3.821549012751425
AGER,0.5370721687555413,0.10159420957644115
ZNRF3,0.023104995861955607,0.6445130887293989
