layer,Z
proteome,0.4793287601767215
proteome,0.6272148114013272
proteome,0.2048968258887304
proteome,0.8640511206296853
proteome,0.0313606967315836
proteome,0.3714766636663622
proteome,0.0615068351214402
proteome,0.2196380762442264
proteome,0.025125429094794
proteome,0.5143661259003834
proteome,0.6585773147922863
proteome,0.3905388420753847
proteome,0.6568446657136
proteome,0.3029046773881708
proteome,0.169342222666715
proteome,0.3776462924054969
proteome,0.2498409879998472
proteome,0.3753888725481291
proteome,0.6855277887622406
proteome,0.7335638393980805
proteome,0.0768518225835215
proteome,0.2927375615734932
proteome,0.1826977253585021
proteome,0.7410772271857483
proteome,0.3698551191413345
proteome,0.9493760464236332
proteome,0.0696003557006917
proteome,0.6447524648558401
proteome,0.4215623348330694
proteome,0.053160047304635
proteome,0.1524050422881681
proteome,0.0984026099201316
proteome,0.4661177573608767
proteome,0.5332167125680468
proteome,0.7340909348934275
proteome,0.1456914548983582
proteome,0.1658716575733572
proteome,0.0076934467959194
proteome,0.1820991581637614
proteome,1.008094175948911
proteome,0.400566688918789
proteome,1.0417916260431337
proteome,0.2125109894573152
proteome,0.2838064432113896
proteome,0.6293203476446
proteome,0.2115022866563131
proteome,0.4786455353767289
proteome,0.6213691119383037
proteome,0.7852412884415049
proteome,0.1961134523368958
proteome,1.0454469712957897
proteome,0.2180222963421009
proteome,0.4735098153902898
proteome,0.4263450822137509
proteome,0.0308800304612393
proteome,0.2098981713474863
proteome,0.0472358578698621
proteome,0.2747531026198651
proteome,0.7229569317730825
proteome,0.5681819476075459
proteome,0.1777587102391739
proteome,0.325903832052113
proteome,0.4879501912675022
proteome,0.672635868053787
proteome,0.0108587954742889
proteome,0.326029325440123
proteome,0.6549909212561608
proteome,0.6851503505926295
proteome,0.0200427497867789
proteome,0.5871634087054944
proteome,1.0316755022048385
proteome,0.826775449029681
proteome,1.3080482895931356
proteome,0.4197405412105411
proteome,0.3150894713508073
proteome,0.1898926233272798
proteome,1.032163067278789
proteome,1.3736757325937847
proteome,0.0028198852195193
proteome,0.3959340418233873
proteome,0.1244795640050094
proteome,1.1183845575765972
proteome,0.8516739576768579
proteome,0.2809488692643807
proteome,0.9529623440469076
proteome,0.3281559454883393
proteome,0.3088750836146485
proteome,1.5397801396432094
proteome,0.1332175931629487
proteome,0.3583535671530733
proteome,0.2990932874685647
proteome,0.033572251422467
proteome,0.2277756813457769
proteome,0.0686852146934894
