mark_key,class,base_sd_mean,Z_responsiveness
ARMC6,reversible,0.2940278591243218,1.3364677136434098
ARMC7,reversible,0.3195309985478833,0.1952884241899687
ARMCX1,reversible,0.2945282576551173,0.5415404785407996
ARPC3,reversible,0.3039768833992375,0.1041367087678061
ARRDC2,reversible,0.3206661914434634,0.3283855981282449
ASAH1,reversible,0.3919340889273712,1.6262862796845163
ASAH2B,persistent,0.2030436824089082,0.6464874402719445
ASAP1,reversible,0.2557897874525634,0.1152580565737581
ASB9,reversible,0.465999205437408,1.3301342867797905
ASH1L-AS1,persistent,0.3631100313418852,0.0559771735517675
ASH2L,persistent,0.2761406089283424,0.210964903482395
ASIP,reversible,0.3724613648431609,0.9947827841499878
ASNS,reversible,0.3028950949875985,0.3378221128444971
ASPHD2,persistent,0.399438574471461,0.1370692727979328
ASRGL1,reversible,0.4514219366421869,0.0671926442537266
ATAD1,persistent,0.2268932382369525,0.1766054449308012
ATAD2,persistent,0.429073214393656,0.3017566739530518
ATAD3A,persistent,0.3234218075561927,0.4518544893155397
ATE1,persistent,0.3409509523910436,0.6462895313845196
ATF1,reversible,0.2808460347551718,0.1755945496666271
ATF2,persistent,0.2234956255947493,0.4377335869963183
ATF3,reversible,0.7613627019033827,0.1756940554249638
ATG101,persistent,0.3241266943927228,0.4742630194809474
ATG12,persistent,0.2220568468301313,0.0188557243314067
ATG4D,persistent,0.2743883424428633,0.1272118662391119
ATP10D,reversible,0.3880094412029647,0.1300875099852407
ATP11C,persistent,0.4523416639518347,0.4975256234646438
ATP13A2,persistent,0.3548311022092131,0.7916251864035947
ATP13A3,persistent,0.3812396259175191,0.027730786433704
ATP2B4,reversible,0.4285162025515991,1.1782188967031215
ATP2C1,reversible,0.2362415365191185,0.8937726442210477
ATP6V0A1,reversible,0.34030067647414,0.0713315791068252
ATP6V0B,reversible,0.2971052761329753,0.4616531636198864
ATP6V0D2,reversible,0.4576524729792741,0.9273533128880568
ATP6V0E1,reversible,0.2330055871620421,1.0435602966367163
ATP6V0E2,reversible,0.5635176460772667,0.7268386225243176
ATP6V1B2,reversible,0.3179868229276755,0.065849710064651
ATP6V1D,reversible,0.2997253406397747,0.381444771203925
ATP8B4,reversible,0.3575680141801863,0.7163673610692989
ATP9A,persistent,0.3543667508390373,0.1195404771481929
ATRIP,persistent,0.3365280525490062,0.2271784730014957
ATXN7L2,reversible,0.3737812760312888,0.1450763927391305
AUH,persistent,0.3294626133013365,0.4560400373216435
AUTS2,reversible,0.2699969006212249,0.6481345414532537
AXL,reversible,0.4062010696739978,0.0140238112319397
AZIN1,reversible,0.2716365616667061,0.7537869429039968
B3GAT3,persistent,0.2664391637522295,0.1395441773368702
B4GALT1,reversible,0.2569764608418192,0.1612113642368407
B4GALT3,reversible,0.2661769433273492,0.0716495722400579
B4GALT4,persistent,0.2907504732322622,0.2393484802837496
B4GALT5,persistent,0.3792196078911565,0.947645881472687
B4GALT6,reversible,0.5644208931370243,1.94598123582624
BAD,persistent,0.287155766453969,0.5031487322380495
BAG2,persistent,0.3480561380614437,0.031350055969419
BAG4,persistent,0.2985683853039387,0.2824790283770098
BARD1,reversible,0.3727920594148976,0.3346094854840089
BASP1,reversible,0.6295850695063778,0.7193002676408488
BASP1P1,persistent,0.1400539887026963,0.1146665780626258
BAZ1B,persistent,0.492203946819305,0.3336087485614887
